Height,Weight
68,160
70,199
72,255
68,171
68,198
61,205
66,200
69,165
61,170
69,160
66,162
73,230
69,165
72,230
65,140
70,185
72,180
70,186
63,187
69,140
70,285
77,280
69,229
70,190
71,215
68,220
74,230
70,270
76,225
70,215
69,140
75,180
75,195
73,180
67,137
74,180
74,225
62,220
70,150
71.5,240
68,200
70,210
71,215
